"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2018&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Dec 03 2019 12:54:36 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Central Utility Plant Cincinnati","OH",129457,2,265
"Central Utility Plant at White Oak","MD",76687,1,222
"Central Valley Ag Power","CA","--",0,36
"Century Generating Facility","CA",1062,0,3
"Ceredo Generating Station","WV",99470,1,28
"Chaffee Gas Recovery","NY","--",0,698
"Chalk Cliff Limited","CA",7755,0,21
"Chalk Point LLC","MD",1325579,722,1249
"Chalmette Refining LLC","LA","--",0,20
"Chambers Cogeneration LP","NJ",929961,698,579
"Chambersburg","PA",85822,0,58
"Chamon Power LLC","TX",26407,0,7
"Channel Energy Center LLC","TX",1891526,7,156
"Channelview Cogeneration Plant","TX",2973298,15,264
"Chanute 2","KS",59154,0,62
"Chanute 3","KS",1251,0,33
"Chappell","NE",6,0,0
"Charles City","VA",3226,5,830
